StdLng@Record_ID,Underresourced,NumberofEntries,Priority1Sources,NotStandardNote,Count@ReleaseData,masterlanguagelist,glottolog@id,ISO639,StandardLanguageName,PnyStatsLanguages::Pny8inc,Count@Concepticon,Family,Langs_Subgroups::SubgroupName,EtymologyofName,StdHomophones,Homophoneinc,Latitude,Longitude,Ascii_Name,Subgroup_ID,NumberofVarieties,note about inclusion,DateModified,LastModifiedBy,AIATSIS_Code,INC@MCTowner,Sources::ChirilaRelease,RoundedLat,RoundedLong
768,,1937,24,,3,yes,guya1249,gvy,Kuyani,y,914,Pama-Nyungan,Thura-Yura,,,,-30.50201585354358,138.1018386262545,Guyani,33,4,,2021-01-28 17:18:08,bowern,L9,Y,,-30.5,138.1
774,,1238,1170,e,,yes,kuuk1238,kuy,Kuuku-Ya'u,Y,482,Pama-Nyungan,Paman,,,,-15.67,141.926,KuukuYau,30,3,,2021-01-28 17:18:08,bowern,Y22,,,-15.67,141.93
777,check,33,23,,,yes,kuuk1243,uky,Kuuk-Yak,,25,Pama-Nyungan,Paman,"kuuk 'language', yak 'snake'",,,-15.77,144.845,KuukYak,30,2,separate language as per ethnologue and austlang,2021-01-28 17:18:08,bowern,Y200,,,-15.77,144.85
778,import dictionary,429,428,e,,yes,thay1249,thd,Kuuk Thaayorre,x,215,Pama-Nyungan,Paman,"kuuk 'language', thaa 'mouth' + yorre 'this' (possibly) +Oblique",,,-14.818,141.847,KuukThaayorre,30,5,,2021-01-28 17:18:08,bowern,Y69,,,-14.82,141.85
779,,4,,e,,yes,kuth1240,xut,Kuthant,,4,Pama-Nyungan,Paman,,,,-17.62807482339449,140.8636670785128,Kuthant,30,1,,2021-01-28 17:18:08,bowern,G31,,,-17.63,140.86
780,,6689,3543,e,2,yes,kung1262,gdj,Kurtjar,y,3277,Pama-Nyungan,Paman,,,,-17.311602688352,141.6480702559417,Kurtjar,30,10,,2021-01-28 17:18:08,bowern,G33,,,-17.31,141.65
781,,1214,1122,,,yes,kurr1243,vku,Kurrama,y,639,Pama-Nyungan,Ngayarta,,,,-22.8659247319932,116.6221124904132,Kurrama,24,2,,2021-01-28 17:18:08,bowern,W36,Y,,-22.87,116.62
782,,1106,1,,2,yes,darl1243,drl,Kurnu,y,586,Pama-Nyungan,Paakantyi,,,,-30.39527317385274,145.6664422378632,Kurnu,28,4,,2021-01-28 17:18:08,bowern,D25,,,-30.4,145.67
36,,4960,127,,4,yes,gana1278,unn,Kurnai,L,3173,Pama-Nyungan,Gippsland,group name,,,-37.62635581546213,147.8838803345264,Kurnai,47,24,use Gannai,2021-01-28 17:18:08,bowern,S68,,,-37.63,147.88
790,,2633,1872,e,,yes,kunj1245,kjn,Kunjen,x,873,Pama-Nyungan,Paman,"based on Ogunyjan, q.v.",,,-16.54391506787638,143.0454776248882,Kunjen,30,5,same as Oykangand,2021-01-28 17:18:08,bowern,Y83,Y,,-16.54,143.05
792,,781,497,,2,yes,kuun1236,lku,Kungkari,y,581,Pama-Nyungan,Karnic,0,,,-24.75108713447541,143.5365227757757,Kungkari,14,2,,2021-01-28 17:18:08,bowern,L38,,Phase 2,-24.75,143.54
795,,659,659,,,yes,kung1259,ggk,Kungarakany,17,2,Arnhem,,,,,-13.32,130.53,Kungarakany,,3,,2021-01-28 17:18:08,bowern,N14,,,-13.32,130.53
797,check,195,133,,0,yes,gunw1252,gup,Kune,,,Gunwinyguan,,"varieties are Kune Narayek, na-rayek = masc.pref+hard and Kune Dulerayek, dule-rayek = word, language; unclear what Kune means",,,,,Kune,,2,,2021-01-28 17:18:08,bowern,N70,,,,
798,check,1,1,,,yes,kunb1251,wlg,Kunbarlang,,1,Gunwinyguan,,,,,-12.05,133.9,Kunbarlang,,1,,2021-01-28 17:18:08,bowern,N69,,,-12.05,133.9
802,,3054,2916,,1,yes,kuku1273,gvn,Kuku-Yalanji,y,291,Pama-Nyungan,Paman,,,,-16.096,145.211,KukuYalanji,30,8,,2021-01-28 17:18:08,bowern,Y78,,,-16.1,145.21
808,,472,108,e,,yes,thay1248,typ,Kuku-Thaypan,17,81,Pama-Nyungan,Paman,"kuku 'language', thaypan 'taipan'",,,-14.75242642638292,144.9934131660447,KukuThaypan,30,9,Alwangara also given,2021-01-28 17:18:08,bowern,Y84,,,-14.75,144.99
814,,19647,18910,,1,yes,kuka1246,kux,Kukatja,y,5623,Pama-Nyungan,Wati,,,,-20.51538798370036,128.0418320166125,Kukatja,38,1,,2021-01-28 17:18:08,bowern,C7,Y,Phase 3,-20.52,128.04
815,,1093,1093,e,,yes,guga1239,ggd,Kukatj,y,575,Pama-Nyungan,Paman,,,,-18.04972880934463,141.0889209600957,Kukatj,30,2,,2021-01-28 17:18:08,bowern,G28,,,-18.05,141.09
818,check,199,2,,1,yes,kuku1280,uwa,Kugu-Uwanh,,132,Pama-Nyungan,Paman,language - move,,,-14.723,141.788,KuguUwanh,30,6,,2021-01-28 17:18:08,bowern,Y176*,,Phase 2,-14.72,141.79
820,,651,602,e,1,yes,wikn1246,wua,Kugu-Nganhcara,y,400,Pama-Nyungan,Paman,,,,-14.167,141.842,KuguNganhcara,30,4,,2021-01-28 17:18:08,bowern,Y59,,Phase1,-14.17,141.84
827,,401,370,,2,yes,cola1237,--,Kolakngat,y,324,Pama-Nyungan,Kulin,,,,-38.471266,143.422444,Kolakngat,16,2,,2021-06-03 15:06:10,bowern,S30,,Phase 2,-38.47,143.42
830,,2337,2097,e,1,yes,gugu1254,kkp,Koko-Bera,x,1042,Pama-Nyungan,Paman,,,,-15.46465645841727,142.0337611525143,KokoBera,30,9,,2021-01-28 17:18:08,bowern,Y85,,,-15.46,142.03
833,,539,0,,,yes,--,,Kokiny,v3,155,Pama-Nyungan,Paman,,,,,,Kokiny,30,1,,2021-06-03 15:03:43,bowern,Y188*,,,,
834,check,35,2,,,yes,koka1244,ktd,Kukatha,,22,Pama-Nyungan,Wati,,,,-29.40268488278302,133.4980182145146,Kokatha,38,3,,2021-01-28 17:18:08,bowern,C3,,,-29.4,133.5
836,import dictionary,249,26,e,,yes,kokn1236,gko,Kok-Nar,x,137,Pama-Nyungan,Paman,,,,-16.17852417955299,141.5751912726436,KokNar,30,6,,2021-01-28 17:18:08,bowern,G29,,,-16.18,141.58
841,,1185,1137,,1,yes,kitj1240,gia,Kija,O,291,Jarrakan,,,,,-17.72282432870798,127.6836781788028,Kija,,1,,2021-06-03 14:46:38,bowern,K20,Y,Phase1,-17.72,127.68
843,,358,0,,0,yes,nort2756,--,Keramin,y,127,Pama-Nyungan,Lower Murray,0,,,-34.697425,139.669871,Keramin,18,3,X,2021-06-03 15:06:10,bowern,D6.1,,Phase 4,-34.7,139.67
845,,9625,9105,,1,yes,kayt1238,gbb,Kaytetye,x,1099,Pama-Nyungan,Arandic,group name,,,-20.61525315824629,134.2357439522524,Kaytetye,1,3,,2021-01-28 17:18:08,bowern,C13,,,-20.62,134.24
846,check,79,75,,,yes,kaya1319,gyd,Kayardild,O,40,Tangkic,,strong language,,,-17.08808050954498,139.4873822869757,Kayardild,,1,,2021-01-28 17:18:08,bowern,G35,,,-17.09,139.49
847,,8541,4371,,3,yes,kaur1267,zku,Kaurna,y,3877,Pama-Nyungan,Thura-Yura,man,,,-34.34966141126208,138.4800793566074,Kaurna,33,2,,2021-01-28 17:18:08,bowern,L3,,,-34.35,138.48
848,,3733,1566,,1,yes,wori1245,kda,Katthang,y,1164,Pama-Nyungan,Yuin-Kuri,,,,-32.0170509805588,152.1111346220666,Katthang,44,7,,2021-01-28 17:18:08,bowern,E67*,,,-32.02,152.11
849,,134,17,,2,yes,karr1236,rxw,Karuwali,y,121,Pama-Nyungan,Karnic,0,,,-25.17589826608799,141.5213883713766,Karuwali,14,2,,2021-01-28 17:18:08,bowern,L35,,Phase1,-25.18,141.52
850,,3243,3075,,,yes,kart1247,mpj,Kartujarra,y,1516,Pama-Nyungan,Wati,go-having,,,-23.27912297306732,121.7321283635923,Kartujarra,38,3,,2021-01-28 17:18:08,bowern,A51,Y,,-23.28,121.73
855,,1562,1260,,,yes,kari1304,vka,Kariyarra,y,975,Pama-Nyungan,Ngayarta,,,,-21.09237033748319,117.6641088777386,Kariyarra,24,2,,2021-01-28 17:18:08,bowern,W39,,,-21.09,117.66
858,,,,,,yes,ngam1265,nmv,Karangura,,,Pama-Nyungan,Karnic,,,,-26.20120018819133,138.5448123001715,Karangura,14,1,,2021-01-28 17:18:08,bowern,L28,,,-26.2,138.54
860,,9989,3711,,1,yes,kara1476,gbd,Karajarri,y,4088,Pama-Nyungan,Marrngu,,,,-18.71361155308466,122.0338064206748,Karajarri,21,8,,2021-01-28 17:18:08,bowern,A64,Y,,-18.71,122.03
862,check,113,0,,1,yes,kani1276,nys,Kaniyang,x,103,Pama-Nyungan,Southwest (Nyungar),,,,-34.34838815849307,116.3545866613001,Kaniyang,27,2,,2021-01-28 17:18:08,bowern,W4,,Phase1,-34.35,116.35
863,,894,893,,0,yes,kamu1258,xmu,Kamu,17,2,Eastern Daly,,,,,-13.58,130.75,Kamu,,1,,2021-01-28 17:18:08,bowern,N33,,,-13.58,130.75
866,,1937,1819,,1,yes,kalk1246,ktg,Kalkatungu,y,996,Pama-Nyungan,Kalkatungic,totem [bandicoot],,,-20.82138209717716,139.0590510867258,Kalkatungu,12,1,,2021-01-28 17:18:08,bowern,G13,,,-20.82,139.06
869,check,257,126,,1,yes,kala1401,lkm,Kalaamaya,L,228,Pama-Nyungan,Southwest (Nyungar),,,,-31.58150086072316,119.859147575824,Kalaamaya,27,5,,2021-01-28 17:18:08,bowern,A4,,,-31.58,119.86
